tconst	directors	writers
tt0012349	nm0000122	nm0000122
tt0013442	nm0003638	nm0831290,nm0301961
tt0015864	nm0000122	nm0000122
tt0017136	nm0000485	nm0902376,nm0000485
tt0021749	nm0000122	nm0000122,nm0139714,nm0188357
tt0022100	nm0000485	nm0902376,nm0000485,nm0414825
tt0025316	nm0001008	nm0728307,nm0011343
tt0027977	nm0000122	nm0000122
tt0029583	nm0183183,nm0359457,nm0414144,nm0604392,nm0668998,nm0789313	nm0342278,nm0342303,nm0780799,nm0187232,nm0257481,nm0725439,nm0403319,nm0210112,nm0087490,nm0810324
tt0031381	nm0281808,nm0002030,nm0939992	nm0593565,nm0397608,nm0308177,nm0372942,nm0842485,nm0886668
tt0031679	nm0001008	nm0118227,nm0287931,nm0175333
tt0032138	nm0281808,nm0896542	nm0486538,nm0753249,nm0941138,nm0000875,nm0006085,nm0106505,nm0134284,nm0276252,nm0355095,nm0361971,nm0388755,nm0481618,nm0536941,nm0542534,nm0591774,nm0621790,nm0685265,nm0780833,nm0799015
tt0032455	nm0019282,nm0035899,nm1968474,nm0272568,nm0359457,nm0359610,nm0373429,nm0414144,nm0527217,nm0730860,nm0766402,nm0789313	nm0335469,nm0400056,nm0086293,nm0687624,nm0226679,nm0390839,nm0942687,nm0372604,nm0538164,nm0373871,nm0668998,nm0266338,nm0553200,nm0857936,nm0827963,nm0572689,nm0257481,nm0810324,nm0672093,nm0754836,nm0670328,nm0821707,nm0335296,nm6773872
tt0032553	nm0000122	nm0000122
tt0032910	nm0272568,nm0373429,nm0414144,nm0455741,nm0527217,nm0730860,nm0789313	nm0172830,nm0780799,nm0257481,nm0810324,nm0183183,nm0754836,nm0672093,nm0061284,nm0670328,nm0850895
tt0032976	nm0000033	nm0238898,nm0792845,nm0365661,nm0531878,nm0389580
tt0033467	nm0000080	nm0542534,nm0000080,nm0002144,nm0219670,nm0448809
tt0033563	nm0035899,nm0272568,nm0414144,nm0455741,nm0730860,nm0789313,nm0254675	nm0335469,nm0400056,nm0257481,nm0670328,nm0061284,nm0727370,nm0821707,nm0810324,nm0008673,nm2927785
tt0033870	nm0001379	nm0001379,nm0358591
tt0034492	nm0019282,nm0035899,nm0359457,nm0373871,nm0730860,nm0766402,nm0942687,nm0204190,nm0314671	nm0759041,nm0668998,nm0604392,nm0821707,nm0789873,nm0266338,nm0183231,nm0942723
tt0034583	nm0002031	nm0258493,nm0258525,nm0462321,nm0122417,nm0019706,nm0732452
tt0036775	nm0000697	nm0000697,nm0151452,nm0128906
tt0038650	nm0001008	nm0329304,nm0352443,nm0001008,nm0842485,nm0827821,nm0933858
tt0038787	nm0000033	nm0372942,nm0000033,nm0285218,nm0644048
tt0040522	nm0001120	nm0953790,nm0059030,nm0080755,nm0147599,nm0001120,nm0290000,nm0315657,nm0346291
tt0040746	nm0000033	nm0002025,nm0358096,nm0491306,nm0372942
tt0040897	nm0001379	nm0001379,nm0871252
