tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0012349	movie	The Kid	The Kid	0	1921	\N	68	Comedy,Drama,Family
tt0013442	movie	Nosferatu	Nosferatu, eine Symphonie des Grauens	0	1922	\N	94	Fantasy,Horror
tt0015864	movie	The Gold Rush	The Gold Rush	0	1925	\N	95	Adventure,Comedy,Drama
tt0017136	movie	Metropolis	Metropolis	0	1927	\N	153	Drama,Sci-Fi
tt0021749	movie	City Lights	City Lights	0	1931	\N	87	Comedy,Drama,Romance
tt0022100	movie	M	M - Eine Stadt sucht einen Mörder	0	1931	\N	99	Crime,Mystery,Thriller
tt0025316	movie	It Happened One Night	It Happened One Night	0	1934	\N	105	Comedy,Romance
tt0027977	movie	Modern Times	Modern Times	0	1936	\N	87	Comedy,Drama,Romance
tt0029583	movie	Snow White and the Seven Dwarfs	Snow White and the Seven Dwarfs	0	1937	\N	83	Adventure,Animation,Family
tt0031381	movie	Gone with the Wind	Gone with the Wind	0	1939	\N	238	Drama,Romance,War
tt0031679	movie	Mr. Smith Goes to Washington	Mr. Smith Goes to Washington	0	1939	\N	129	Comedy,Drama
tt0032138	movie	The Wizard of Oz	The Wizard of Oz	0	1939	\N	102	Adventure,Family,Fantasy
tt0032455	movie	Fantasia	Fantasia	0	1940	\N	124	Animation,Family,Fantasy
tt0032553	movie	The Great Dictator	The Great Dictator	0	1940	\N	125	Comedy,Drama,War
tt0032910	movie	Pinocchio	Pinocchio	0	1940	\N	88	Adventure,Animation,Comedy
tt0032976	movie	Rebecca	Rebecca	0	1940	\N	130	Drama,Mystery,Romance
tt0033467	movie	Citizen Kane	Citizen Kane	0	1941	\N	119	Drama,Mystery
tt0033563	movie	Dumbo	Dumbo	0	1941	\N	64	Adventure,Animation,Drama
tt0033870	movie	The Maltese Falcon	The Maltese Falcon	0	1941	\N	100	Crime,Film-Noir,Mystery
tt0034492	movie	Bambi	Bambi	0	1942	\N	69	Adventure,Animation,Drama
tt0034583	movie	Casablanca	Casablanca	0	1942	\N	102	Drama,Romance,War
tt0036775	movie	Double Indemnity	Double Indemnity	0	1944	\N	107	Crime,Drama,Film-Noir
tt0038650	movie	It's a Wonderful Life	It's a Wonderful Life	0	1946	\N	130	Drama,Family,Fantasy
tt0038787	movie	Notorious	Notorious	0	1946	\N	102	Drama,Film-Noir,Romance
tt0040522	movie	Bicycle Thieves	Ladri di biciclette	0	1948	\N	89	Drama
tt0040746	movie	Rope	Rope	0	1948	\N	80	Crime,Drama,Mystery
tt0040897	movie	The Treasure of the Sierra Madre	The Treasure of the Sierra Madre	0	1948	\N	126	Adventure,Drama,Western
tt0041959	movie	The Third Man	The Third Man	0	1949	\N	93	Film-Noir,Mystery,Thriller
tt0042192	movie	All About Eve	All About Eve	0	1950	\N	138	Drama
tt0042332	movie	Cinderella	Cinderella	0	1950	\N	74	Animation,Family,Fantasy
tt0042876	movie	Rashomon	Rashômon	0	1950	\N	88	Crime,Drama,Mystery
tt0043014	movie	Sunset Blvd.	Sunset Blvd.	0	1950	\N	110	Drama,Film-Noir
tt0043274	movie	Alice in Wonderland	Alice in Wonderland	0	1951	\N	75	Adventure,Animation,Comedy
tt0044079	movie	Strangers on a Train	Strangers on a Train	0	1951	\N	101	Crime,Drama,Film-Noir
tt0044081	movie	A Streetcar Named Desire	A Streetcar Named Desire	0	1951	\N	122	Drama
tt0044706	movie	High Noon	High Noon	0	1952	\N	85	Drama,Thriller,Western
tt0045152	movie	Singin' in the Rain	Singin' in the Rain	0	1952	\N	103	Comedy,Musical,Romance
tt0046183	movie	Peter Pan	Peter Pan	0	1953	\N	77	Adventure,Animation,Family
tt0046250	movie	Roman Holiday	Roman Holiday	0	1953	\N	118	Comedy,Romance
tt0046912	movie	Dial M for Murder	Dial M for Murder	0	1954	\N	105	Crime,Thriller
tt0047296	movie	On the Waterfront	On the Waterfront	0	1954	\N	108	Crime,Drama,Thriller
tt0047396	movie	Rear Window	Rear Window	0	1954	\N	112	Mystery,Thriller
tt0047478	movie	Seven Samurai	Shichinin no samurai	0	1954	\N	207	Action,Drama
tt0048280	movie	Lady and the Tramp	Lady and the Tramp	0	1955	\N	76	Adventure,Animation,Comedy
tt0050083	movie	12 Angry Men	12 Angry Men	0	1957	\N	96	Crime,Drama
tt0050212	movie	The Bridge on the River Kwai	The Bridge on the River Kwai	0	1957	\N	161	Adventure,Drama,War
tt0050825	movie	Paths of Glory	Paths of Glory	0	1957	\N	88	Drama,War
tt0050976	movie	The Seventh Seal	Det sjunde inseglet	0	1957	\N	96	Drama,Fantasy
tt0050986	movie	Wild Strawberries	Smultronstället	0	1957	\N	91	Drama,Romance
tt0051201	movie	Witness for the Prosecution	Witness for the Prosecution	0	1957	\N	116	Crime,Drama,Mystery
tt0052311	movie	Touch of Evil	Touch of Evil	0	1958	\N	95	Crime,Drama,Film-Noir
tt0052357	movie	Vertigo	Vertigo	0	1958	\N	128	Mystery,Romance,Thriller
tt0052618	movie	Ben-Hur	Ben-Hur	0	1959	\N	212	Adventure,Drama
tt0053125	movie	North by Northwest	North by Northwest	0	1959	\N	136	Action,Adventure,Mystery
tt0053198	movie	The 400 Blows	Les quatre cents coups	0	1959	\N	99	Crime,Drama
tt0053285	movie	Sleeping Beauty	Sleeping Beauty	0	1959	\N	75	Adventure,Animation,Family
tt0053291	movie	Some Like It Hot	Some Like It Hot	0	1959	\N	121	Comedy,Music,Romance
tt0053604	movie	The Apartment	The Apartment	0	1960	\N	125	Comedy,Drama,Romance
tt0054047	movie	The Magnificent Seven	The Magnificent Seven	0	1960	\N	128	Action,Adventure,Drama
tt0054215	movie	Psycho	Psycho	0	1960	\N	109	Horror,Mystery,Thriller
tt0054331	movie	Spartacus	Spartacus	0	1960	\N	197	Adventure,Biography,Drama
tt0054698	movie	Breakfast at Tiffany's	Breakfast at Tiffany's	0	1961	\N	115	Comedy,Drama,Romance
tt0055254	movie	One Hundred and One Dalmatians	One Hundred and One Dalmatians	0	1961	\N	79	Adventure,Animation,Comedy
tt0055614	movie	West Side Story	West Side Story	0	1961	\N	153	Crime,Drama,Musical
